Location	Date	Species	Gender	Length	tag number full 	Time
A0	5/15/21	A	F	25.4	0000_0000000181623951	20:06:00
A0	5/15/21	A	F	27.8	0000_0000000181623952	20:08:00
A0	5/15/21	A	M	26.5	0000_0000000181623953	20:09:00
A0	5/15/21	A	F	25.2	0000_0000000181623954	20:09:00
A0	5/15/21	A	M	25.6	0000_0000000181623955	20:10:00
A0	5/15/21	A	F	26.4	0000_0000000181623956	20:10:00
A0	5/15/21	A	F	25.7	0000_0000000181623957	20:10:00
A0	5/15/21	A	M	26	0000_0000000181623958	20:12:00
A0	5/15/21	A	F	28	0000_0000000181623959	20:12:00
A0	5/15/21	A	F	27.1	0000_0000000181623960	20:15:00
A0	5/15/21	A	N	24.9	0000_0000000181623961	20:15:00
A0	5/15/21	A	N	26.8	0000_0000000181623962	20:15:00
A0	5/15/21	A	F	27.5	0000_0000000181623963	20:15:00
A0	5/15/21	A	F	27.7	0000_0000000181623964	20:18:00
A0	5/15/21	A	F	26.9	0000_0000000181623965	20:19:00
A0	5/15/21	A	F	29.5	0000_0000000181623966	20:23:00
A0	5/15/21	A	M	25.3	0000_0000000181623967	20:24:00
A0	5/15/21	A	N	24.5	0000_0000000181623968	20:25:00
A0	5/15/21	A	F	26	0000_0000000181623969	20:25:00
A0	5/15/21	A	F	27.9	0000_0000000181623970	20:26:00
A0	5/15/21	A	F	26.9	0000_0000000181623971	20:33:00
A0	5/15/21	A	M	24.6	0000_0000000181623972	20:34:00
A0	5/15/21	A	F	27.1	0000_0000000181623973	20:34:00
A0	5/15/21	A	M	24.7	0000_0000000181623974	20:35:00
A0	5/15/21	A	M	26.8	0000_0000000181623975	20:38:00
A0	5/15/21	A	F	27.3	0000_0000000181623976	20:39:00
A0	5/15/21	A	M	26.1	0000_0000000181623977	20:40:00
A0	5/15/21	A	F	26	0000_0000000181623978	20:41:00
A0	5/15/21	A	F	29.3	0000_0000000181623979	20:42:00
A0	5/15/21	A	M	25.1	0000_0000000181623980	20:43:00
A0	5/15/21	A	F	24.9	0000_0000000181623981	20:43:00
A0	5/15/21	A	M	27	0000_0000000181623982	20:45:00
A0	5/15/21	A	F	28.4	0000_0000000181623983	20:46:00
A0	5/15/21	A	F	29	0000_0000000181623984	20:46:00
A0	5/15/21	A	M	25	0000_0000000181623985	20:31:00
A0	5/15/21	A	F	27.9	0000_0000000181623986	20:31:00
A0	5/15/21	A	F	27.9	0000_0000000181623987	20:32:00
A0	5/15/21	A	N	25.5	0000_0000000181623988	20:32:00
A0	5/15/21	A	M	26.7	0000_0000000181623989	20:34:00
A0	5/15/21	A	F	27.3	0000_0000000181623990	21:01:00
A0	5/15/21	A	M	25	0000_0000000181623991	21:01:00
A0	5/15/21	A	F	25.6	0000_0000000181623992	21:02:00
A0	5/15/21	A	F	27.9	0000_0000000181623993	21:03:00
A0	5/15/21	A	F	27.7	0000_0000000181623994	21:04:00
A0	5/15/21	A	F	27.3	0000_0000000181623995	21:09:00
A0	5/15/21	A	F	25.4	0000_0000000181623996	21:10:00
A0	5/15/21	A	M	26.4	0000_0000000181623997	21:11:00
A0	5/15/21	A	F	25.4	0000_0000000181623998	21:15:00
A0	5/15/21	A	M	25.8	0000_0000000181623999	21:19:00
A0	5/15/21	A	F	26.2	0000_0000000181624000	21:26:00
A0	5/15/21	A	F	27.1	0000_0000000181624001	21:26:00
A0	5/15/21	A	F	27.4	0000_0000000181624002	21:28:00
A0	5/16/21	A	M	26.1	0000_0000000181624003	19:40:00
A0	5/16/21	B	F	25.6	0000_0000000181624004	19:41:00
A0	5/16/21	B	F	23.9	0000_0000000181624005	19:41:00
A0	5/16/21	B	M	23.6	0000_0000000181624006	19:46:00
A0	5/16/21	A	F	26.3	0000_0000000181624007	19:46:00
A0	5/16/21	A	F	26.2	0000_0000000181624008	19:46:00
A0	5/16/21	B	N	25.6	0000_0000000181624009	19:49:00
A0	5/16/21	A	M	25.1	0000_0000000181624010	19:49:00
A0	5/16/21	A	F	24.1	0000_0000000181624011	19:52:00
A0	5/16/21	B	N	24	0000_0000000181624012	19:52:00
A0	5/16/21	A	F	28.6	0000_0000000181624013	19:52:00
A0	5/16/21	A	F	26.9	0000_0000000181624014	19:55:00
A0	5/16/21	B	M	23.1	0000_0000000181624015	19:57:00
A0	5/16/21	A	M	27.2	0000_0000000181624016	19:57:00
A0	5/16/21	A	M	24.9	0000_0000000181624017	20:00:00
A0	5/16/21	A	M	25.7	0000_0000000181624018	20:00:00
A0	5/16/21	A	F	26.1	0000_0000000181624019	20:00:00
A0	5/16/21	A	F	25.7	0000_0000000181624020	20:02:00
A0	5/16/21	B	N	26.4	0000_0000000181624021	20:02:00
A0	5/16/21	A	F	26.7	0000_0000000181624022	20:23:00
A0	5/16/21	A	M	26.3	0000_0000000181624023	20:23:00
A0	5/16/21	A	F	26	0000_0000000181624024	20:25:00
A0	5/16/21	A	M	27.1	0000_0000000181624025	20:25:00
A0	5/16/21	A	F	26.8	0000_0000000181624026	20:25:00
A0	5/16/21	A	M	26.7	0000_0000000181624027	20:27:00
A0	5/16/21	A	F	29.3	0000_0000000181624028	20:33:00
